date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:12	108148/108148	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:37%20GMT	https://github.com/handsontable	C:/Mes%20Sites%20Web/dav/github.com/handsontable.html	(from )
21:45:13	1035/1035	---MCZ	200	added ('OK')	text/plain	etag:W/%2259c80f52-7716%22	https://github.com/robots.txt		(from )
21:45:14	121094/121094	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Jan%202000%2000:00:00%20GMT	https://assets-cdn.github.com/assets/frameworks-bedfc518345498ab3204d330c1727cde7e733526a09cd7df6867f6a231565091.css	C:/Mes%20Sites%20Web/dav/assets-cdn.github.com/assets/frameworks-bedfc518345498ab3204d330c1727cde7e733526a09cd7df6867f6a231565091.css	(from https://github.com/handsontable)
21:45:15	37501/37501	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Jan%202000%2000:00:00%20GMT	https://assets-cdn.github.com/assets/site-877643c520258c4fa15ac8d1664d84efd0e3db56f5e544ccac58da0e50489904.css	C:/Mes%20Sites%20Web/dav/assets-cdn.github.com/assets/site-877643c520258c4fa15ac8d1664d84efd0e3db56f5e544ccac58da0e50489904.css	(from https://github.com/handsontable)
21:45:16	409493/409493	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Jan%202000%2000:00:00%20GMT	https://assets-cdn.github.com/assets/github-a1f1041276ec59b7ad51bdbd35d2d73f15f99aebe2686a60e9cd9f705b57d220.css	C:/Mes%20Sites%20Web/dav/assets-cdn.github.com/assets/github-a1f1041276ec59b7ad51bdbd35d2d73f15f99aebe2686a60e9cd9f705b57d220.css	(from https://github.com/handsontable)
21:45:17	550/550	---MCZ	200	added ('OK')	text/xml	etag:W/%2259c80fdb-226%22	https://github.com/opensearch.xml	C:/Mes%20Sites%20Web/dav/github.com/opensearch.xml	(from https://github.com/handsontable)
21:45:18	33270/33270	---M--	200	added ('OK')	image/png	etag:%2259c80f80-81f6%22	https://github.com/fluidicon.png	C:/Mes%20Sites%20Web/dav/github.com/fluidicon.png	(from https://github.com/handsontable)
21:45:19	68109/68109	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:43%20GMT	https://github.com/features	C:/Mes%20Sites%20Web/dav/github.com/features.html	(from https://github.com/handsontable)
21:45:19	55991/55991	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:43%20GMT	https://github.com/	C:/Mes%20Sites%20Web/dav/github.com/index.html	(from https://github.com/handsontable)
21:45:19	45210/45210	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:43%20GMT	https://github.com/business	C:/Mes%20Sites%20Web/dav/github.com/business.html	(from https://github.com/handsontable)
21:45:21	202701/202701	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:45%20GMT	https://github.com/explore	C:/Mes%20Sites%20Web/dav/github.com/explore.html	(from https://github.com/handsontable)
21:45:21	43836/43836	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:46%20GMT	https://github.com/marketplace	C:/Mes%20Sites%20Web/dav/github.com/marketplace.html	(from https://github.com/handsontable)
21:45:22	43683/43683	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:46%20GMT	https://github.com/pricing	C:/Mes%20Sites%20Web/dav/github.com/pricing.html	(from https://github.com/handsontable)
21:45:23	112/112	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Sep%202017%2020:45:47%20GMT	https://github.com/organizations/handsontable	C:/Mes%20Sites%20Web/dav/github.com/organizations/handsontable.b.delayed	(from https://github.com/handsontable)
21:45:24	159/159	---MC-	302	error ('Found')	text/html	date:Sun,%2024%20Sep%202017%2020:45:48%20GMT	https://github.com/orgs/handsontable/dashboard	C:/Mes%20Sites%20Web/dav/github.com/orgs/handsontable/dashboard.c.delayed	(from https://github.com/handsontable)
21:45:25	11867/11867	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:49%20GMT	https://github.com/login?return_to=https%3A%2F%2Fgithub.com%2Forgs%2Fhandsontable%2Fdashboard	C:/Mes%20Sites%20Web/dav/github.com/login95e3.html	(from https://github.com/handsontable)
21:45:26	11824/11824	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:50%20GMT	https://github.com/login?return_to=%2Fhandsontable	C:/Mes%20Sites%20Web/dav/github.com/logincb83.html	(from https://github.com/handsontable)
21:45:27	22661/22661	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:51%20GMT	https://github.com/join?source=header	C:/Mes%20Sites%20Web/dav/github.com/joinaebb.html	(from https://github.com/handsontable)
21:45:27	23435/23435	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:52%20GMT	https://github.com/orgs/handsontable/people	C:/Mes%20Sites%20Web/dav/github.com/orgs/handsontable/people.html	(from https://github.com/handsontable)
21:45:27	2310/2310	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Sep%202016%2019:59:56%20GMT	https://assets-cdn.github.com/images/spinners/octocat-spinner-32.gif	C:/Mes%20Sites%20Web/dav/assets-cdn.github.com/images/spinners/octocat-spinner-32.gif	(from https://github.com/handsontable)
21:45:29	213876/213876	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:53%20GMT	https://github.com/handsontable/handsontable	C:/Mes%20Sites%20Web/dav/github.com/handsontable/handsontable.html	(from https://github.com/handsontable)
21:45:30	92711/92711	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:54%20GMT	https://github.com/handsontable/handsontable/stargazers	C:/Mes%20Sites%20Web/dav/github.com/handsontable/handsontable/stargazers.html	(from https://github.com/handsontable)
21:45:31	26491/26491	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:55%20GMT	https://github.com/handsontable/handsontable/network	C:/Mes%20Sites%20Web/dav/github.com/handsontable/handsontable/network.html	(from https://github.com/handsontable)
21:45:32	87341/87341	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:56%20GMT	https://github.com/handsontable/handsontable-pro	C:/Mes%20Sites%20Web/dav/github.com/handsontable/handsontable-pro.html	(from https://github.com/handsontable)
21:45:32	46276/46276	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:56%20GMT	https://github.com/handsontable/handsontable-pro/stargazers	C:/Mes%20Sites%20Web/dav/github.com/handsontable/handsontable-pro/stargazers.html	(from https://github.com/handsontable)
21:45:33	27875/27875	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:58%20GMT	https://github.com/handsontable/handsontable-pro/network	C:/Mes%20Sites%20Web/dav/github.com/handsontable/handsontable-pro/network.html	(from https://github.com/handsontable)
21:45:34	85197/85197	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:58%20GMT	https://github.com/handsontable/angular-handsontable	C:/Mes%20Sites%20Web/dav/github.com/handsontable/angular-handsontable.html	(from https://github.com/handsontable)
21:45:35	55676/55676	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:45:59%20GMT	https://github.com/handsontable/angular-handsontable/stargazers	C:/Mes%20Sites%20Web/dav/github.com/handsontable/angular-handsontable/stargazers.html	(from https://github.com/handsontable)
21:45:36	28104/28104	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:46:00%20GMT	https://github.com/handsontable/angular-handsontable/network	C:/Mes%20Sites%20Web/dav/github.com/handsontable/angular-handsontable/network.html	(from https://github.com/handsontable)
21:45:37	84529/84529	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2020:46:01%20GMT	https://github.com/handsontable/react-handsontable	C:/Mes%20Sites%20Web/dav/github.com/handsontable/react-handsontable.html	(from https://github.com/handsontable)
